name;length;10;20;30;40;50
>hsa-mir-548ay MI0022210 Homo sapiens miR-548ay stem-loop;107;6;9;9;14;14;
>random_seq_from_cds__NO_56623;82;37;41;48;53;48;
>hsa-mir-623 MI0003637 Homo sapiens miR-623 stem-loop;98;56;53;46;46;53;
>hsa-mir-431 MI0001721 Homo sapiens miR-431 stem-loop;114;60;62;62;57;59;
>random_seq_from_cds__NO_40266;89;44;48;52;69;69;
>random_seq_from_cds__NO_1953;84;23;31;33;43;48;
>random_seq_from_cds__NO_31791;77;42;41;41;43;49;
>random_seq_from_cds__NO_53103;85;37;40;46;51;56;
>random_seq_from_cds__NO_40262;110;70;68;71;70;68;
>random_seq_from_cds__NO_34826;110;57;72;72;77;83;
>random_seq_from_cds__NO_16184;81;32;33;33;36;40;
>hsa-mir-196b MI0001150 Homo sapiens miR-196b stem-loop;84;7;8;8;9;11;
>random_seq_from_cds__NO_69919;82;36;40;40;47;50;
>random_seq_from_cds__NO_9448;86;51;53;55;59;69;
>random_seq_from_cds__NO_33503;82;33;37;41;49;45;
>random_seq_from_cds__NO_51395;81;42;45;45;55;53;
>random_seq_from_cds__NO_54420;85;43;42;45;47;52;
>hsa-mir-452 MI0001733 Homo sapiens miR-452 stem-loop;85;4;3;8;14;16;
>hsa-mir-6073 MI0020350 Homo sapiens miR-6073 stem-loop;89;34;41;48;50;58;
>hsa-mir-4758 MI0017399 Homo sapiens miR-4758 stem-loop;71;11;14;17;22;28;
>random_seq_from_cds__NO_63761;89;34;42;52;60;59;
>hsa-mir-184 MI0000481 Homo sapiens miR-184 stem-loop;84;10;12;14;17;22;
>hsa-mir-548x-2 MI0016833 Homo sapiens miR-548x-2 stem-loop;100;1;1;2;3;5;
>random_seq_from_cds__NO_57088;79;42;41;39;48;51;
>random_seq_from_cds__NO_53960;70;18;22;24;31;33;
>hsa-mir-548g MI0006395 Homo sapiens miR-548g stem-loop;89;11;12;13;14;17;
>hsa-mir-4523 MI0016890 Homo sapiens miR-4523 stem-loop;69;4;5;6;8;8;
>random_seq_from_cds__NO_54816;89;32;39;45;60;66;
>hsa-mir-892c MI0022560 Homo sapiens miR-892c stem-loop;77;22;26;29;30;30;
>random_seq_from_cds__NO_5978;84;50;51;51;57;57;
>random_seq_from_cds__NO_15674;88;48;49;52;59;64;
>hsa-mir-5093 MI0017982 Homo sapiens miR-5093 stem-loop;100;21;26;29;39;51;
>hsa-mir-4469 MI0016820 Homo sapiens miR-4469 stem-loop;79;3;4;4;5;6;
>random_seq_from_cds__NO_26329;78;24;28;35;46;46;
>random_seq_from_cds__NO_64606;81;42;37;39;44;45;
>random_seq_from_cds__NO_63758;77;38;42;47;48;47;
>hsa-mir-4719 MI0017354 Homo sapiens miR-4719 stem-loop;84;4;4;4;5;6;
>hsa-mir-27b MI0000440 Homo sapiens miR-27b stem-loop;97;3;3;6;10;14;
>hsa-mir-4286 MI0015894 Homo sapiens miR-4286 stem-loop;93;53;58;62;68;67;
>hsa-mir-6716 MI0022550 Homo sapiens miR-6716 stem-loop;80;37;34;33;38;40;
>random_seq_from_cds__NO_25477;78;43;50;51;55;54;
>hsa-mir-3605 MI0015995 Homo sapiens miR-3605 stem-loop;100;41;41;47;50;59;
>random_seq_from_cds__NO_49467;89;47;48;47;62;61;
>hsa-mir-6070 MI0020347 Homo sapiens miR-6070 stem-loop;103;53;59;64;73;72;
>hsa-mir-4327 MI0015867 Homo sapiens miR-4327 stem-loop;85;14;15;13;20;28;
>random_seq_from_cds__NO_15222;73;33;38;41;45;40;
>random_seq_from_cds__NO_16555;85;50;52;55;55;54;
>hsa-mir-4754 MI0017394 Homo sapiens miR-4754 stem-loop;89;26;24;23;25;26;
>hsa-mir-362 MI0000762 Homo sapiens miR-362 stem-loop;65;3;3;3;6;8;
>hsa-mir-3618 MI0016008 Homo sapiens miR-3618 stem-loop;88;13;13;18;26;31;
>random_seq_from_cds__NO_13045;87;46;52;58;62;63;
>random_seq_from_cds__NO_1112;89;62;63;61;66;72;
>random_seq_from_cds__NO_62418;68;22;24;26;27;27;
>random_seq_from_cds__NO_25023;84;43;48;53;60;59;
>random_seq_from_cds__NO_50433;90;56;64;64;69;66;
>hsa-mir-874 MI0005532 Homo sapiens miR-874 stem-loop;78;26;26;28;36;43;
>random_seq_from_cds__NO_27686;72;35;36;35;38;37;
>random_seq_from_cds__NO_50432;88;51;56;58;56;63;
>hsa-mir-3186 MI0014229 Homo sapiens miR-3186 stem-loop;85;6;6;9;11;18;
>hsa-mir-557 MI0003563 Homo sapiens miR-557 stem-loop;98;33;31;29;42;41;
>random_seq_from_cds__NO_39636;110;64;61;64;65;73;
>random_seq_from_cds__NO_15227;72;26;27;37;40;42;
>random_seq_from_cds__NO_39641;70;33;31;31;35;38;
>hsa-mir-3975 MI0016993 Homo sapiens miR-3975 stem-loop;70;17;21;28;41;37;
>hsa-mir-1200 MI0006332 Homo sapiens miR-1200 stem-loop;76;23;27;25;32;42;
>random_seq_from_cds__NO_40638;98;70;75;75;73;76;
>random_seq_from_cds__NO_60227;88;42;42;43;41;49;
>hsa-mir-4782 MI0017427 Homo sapiens miR-4782 stem-loop;79;2;3;3;4;4;
>hsa-mir-133a-1 MI0000450 Homo sapiens miR-133a-1 stem-loop;88;4;6;6;13;18;
>random_seq_from_cds__NO_25011;95;28;32;39;51;55;
>random_seq_from_cds__NO_24162;81;24;26;28;30;37;
>random_seq_from_cds__NO_45081;81;34;35;38;37;42;
>random_seq_from_cds__NO_25015;86;47;49;50;54;55;
>random_seq_from_cds__NO_24167;70;8;9;15;26;28;
>random_seq_from_cds__NO_51755;75;30;32;31;40;40;
>hsa-mir-4667 MI0017297 Homo sapiens miR-4667 stem-loop;66;8;8;9;9;14;
>hsa-mir-3182 MI0014224 Homo sapiens miR-3182 stem-loop;63;25;24;24;27;28;
>hsa-mir-4475 MI0016827 Homo sapiens miR-4475 stem-loop;61;3;4;5;8;11;
>random_seq_from_cds__NO_51759;71;23;20;23;28;32;
>random_seq_from_cds__NO_61145;87;46;50;58;66;69;
>random_seq_from_cds__NO_40206;78;26;32;36;48;45;
>random_seq_from_cds__NO_28559;84;29;35;41;51;58;
>hsa-mir-1207 MI0006340 Homo sapiens miR-1207 stem-loop;87;17;22;24;36;43;
>random_seq_from_cds__NO_1571;100;54;67;69;73;72;
>hsa-mir-6081 MI0020358 Homo sapiens miR-6081 stem-loop;97;58;58;55;64;65;
>hsa-mir-4779 MI0017423 Homo sapiens miR-4779 stem-loop;83;1;1;1;1;2;
>hsa-mir-19b-2 MI0000075 Homo sapiens miR-19b-2 stem-loop;96;4;8;9;15;18;
>hsa-mir-3714 MI0016135 Homo sapiens miR-3714 stem-loop;65;9;12;12;13;16;
>hsa-mir-1204 MI0006337 Homo sapiens miR-1204 stem-loop;67;30;28;29;33;32;
>hsa-mir-662 MI0003670 Homo sapiens miR-662 stem-loop;95;47;46;47;46;46;
>random_seq_from_cds__NO_15233;89;44;45;49;64;74;
>random_seq_from_cds__NO_38375;82;27;31;35;49;46;
>hsa-mir-3591 MI0017383 Homo sapiens miR-3591 stem-loop;73;7;8;10;16;21;
>random_seq_from_cds__NO_489;77;39;37;42;49;50;
>hsa-mir-3653 MI0016053 Homo sapiens miR-3653 stem-loop;110;33;33;37;34;46;
>random_seq_from_cds__NO_63796;68;28;27;28;31;33;
>random_seq_from_cds__NO_64644;77;25;28;33;43;46;
>random_seq_from_cds__NO_40217;78;41;45;47;48;44;
>hsa-mir-663b MI0006336 Homo sapiens miR-663b stem-loop;115;74;73;71;74;79;
>random_seq_from_cds__NO_28543;84;37;44;41;49;62;
>random_seq_from_cds__NO_48172;110;65;64;67;71;75;
>hsa-mir-935 MI0005757 Homo sapiens miR-935 stem-loop;91;11;10;12;16;18;
>random_seq_from_cds__NO_5949;100;57;61;65;69;66;
>random_seq_from_cds__NO_20611;71;14;16;18;31;32;
>random_seq_from_cds__NO_15264;85;48;48;52;58;59;
>random_seq_from_cds__NO_61122;85;29;30;38;47;55;
>hsa-mir-889 MI0005540 Homo sapiens miR-889 stem-loop;79;13;15;15;19;23;
>random_seq_from_cds__NO_61125;86;36;40;46;49;56;
>hsa-mir-4309 MI0015837 Homo sapiens miR-4309 stem-loop;83;42;42;44;51;53;
>random_seq_from_cds__NO_8197;86;32;36;45;55;61;
>hsa-mir-6068 MI0020345 Homo sapiens miR-6068 stem-loop;60;27;28;28;30;29;
>hsa-mir-563 MI0003569 Homo sapiens miR-563 stem-loop;79;10;12;13;13;16;
>hsa-mir-526a-2 MI0003168 Homo sapiens miR-526a-2 stem-loop;65;3;3;4;6;7;
>hsa-mir-548q MI0010637 Homo sapiens miR-548q stem-loop;100;2;2;3;12;18;
>hsa-mir-3972 MI0016990 Homo sapiens miR-3972 stem-loop;87;12;15;16;22;22;
>random_seq_from_cds__NO_53984;70;32;31;33;38;40;
>hsa-let-7i MI0000434 Homo sapiens let-7i stem-loop;84;15;13;15;19;21;
>hsa-mir-634 MI0003649 Homo sapiens miR-634 stem-loop;97;47;60;65;73;74;
>hsa-mir-5700 MI0019307 Homo sapiens miR-5700 stem-loop;71;3;3;2;4;4;
>random_seq_from_cds__NO_16105;82;45;45;50;57;59;
>random_seq_from_cds__NO_61596;84;37;39;42;46;53;
>hsa-mir-153-1 MI0000463 Homo sapiens miR-153-1 stem-loop;90;5;6;9;7;10;
>random_seq_from_cds__NO_37028;70;31;34;36;39;36;
>hsa-mir-6079 MI0020356 Homo sapiens miR-6079 stem-loop;62;22;23;27;29;28;
>random_seq_from_cds__NO_27239;95;10;12;13;18;26;
>hsa-mir-764 MI0003944 Homo sapiens miR-764 stem-loop;85;10;11;11;18;27;
>random_seq_from_cds__NO_42856;82;33;32;38;48;54;
>hsa-mir-5090 MI0017979 Homo sapiens miR-5090 stem-loop;85;14;14;16;16;18;
>random_seq_from_cds__NO_27233;110;59;67;66;73;75;
>random_seq_from_cds__NO_48152;81;35;35;38;38;42;
>hsa-mir-4505 MI0016868 Homo sapiens miR-4505 stem-loop;73;20;24;29;32;30;
>random_seq_from_cds__NO_69079;80;43;47;48;53;54;
>hsa-mir-3185 MI0014227 Homo sapiens miR-3185 stem-loop;68;8;8;8;8;8;
>hsa-mir-4753 MI0017392 Homo sapiens miR-4753 stem-loop;83;6;6;7;10;10;
>hsa-mir-617 MI0003631 Homo sapiens miR-617 stem-loop;97;8;8;9;10;11;
>random_seq_from_cds__NO_29890;84;38;46;50;47;48;
>random_seq_from_cds__NO_62950;94;37;43;55;65;71;
>random_seq_from_cds__NO_22015;97;53;54;53;65;75;
>random_seq_from_cds__NO_54093;86;47;50;52;53;56;
>random_seq_from_cds__NO_58450;82;28;33;37;39;41;
>random_seq_from_cds__NO_2072;63;12;12;15;22;29;
>random_seq_from_cds__NO_4251;110;61;64;63;78;79;
>hsa-mir-6720 MI0022555 Homo sapiens miR-6720 stem-loop;98;37;41;42;47;46;
>random_seq_from_cds__NO_34007;86;45;44;50;46;52;
>hsa-mir-6719 MI0022554 Homo sapiens miR-6719 stem-loop;87;11;14;25;33;40;
>hsa-mir-299 MI0000744 Homo sapiens miR-299 stem-loop;63;1;1;1;1;2;
>random_seq_from_cds__NO_38846;85;26;27;36;54;60;
>hsa-mir-548j MI0006345 Homo sapiens miR-548j stem-loop;112;22;25;26;30;33;
>random_seq_from_cds__NO_51826;75;36;39;41;43;41;
>random_seq_from_cds__NO_37519;71;35;34;38;40;40;
>hsa-mir-512-1 MI0003140 Homo sapiens miR-512-1 stem-loop;84;5;5;8;9;13;
>hsa-mir-3908 MI0016412 Homo sapiens miR-3908 stem-loop;126;16;15;18;23;25;
>hsa-mir-1248 MI0006383 Homo sapiens miR-1248 stem-loop;106;23;24;31;40;52;
>hsa-mir-3159 MI0014188 Homo sapiens miR-3159 stem-loop;74;7;7;8;11;12;
>random_seq_from_cds__NO_72744;69;24;26;29;33;33;
>hsa-mir-1267 MI0006404 Homo sapiens miR-1267 stem-loop;78;1;1;1;1;2;
>random_seq_from_cds__NO_49987;71;32;31;31;34;35;
>hsa-mir-1470 MI0007075 Homo sapiens miR-1470 stem-loop;61;14;14;17;20;18;
>random_seq_from_cds__NO_22488;69;34;36;37;41;41;
>random_seq_from_cds__NO_70564;84;30;36;42;49;54;
>random_seq_from_cds__NO_60767;98;28;33;37;48;65;
>random_seq_from_cds__NO_61615;92;51;55;55;57;59;
>hsa-mir-1178 MI0006271 Homo sapiens miR-1178 stem-loop;91;49;52;47;61;64;
>random_seq_from_cds__NO_5588;77;27;27;26;34;43;
>random_seq_from_cds__NO_49501;79;39;40;44;43;43;
>hsa-mir-29c MI0000735 Homo sapiens miR-29c stem-loop;88;5;6;7;12;16;
>hsa-mir-6074 MI0020351 Homo sapiens miR-6074 stem-loop;107;38;46;44;53;61;
>hsa-mir-4539 MI0016910 Homo sapiens miR-4539 stem-loop;60;37;37;33;35;33;
>random_seq_from_cds__NO_72734;95;44;48;53;67;72;
>random_seq_from_cds__NO_11387;84;55;53;54;50;59;
>random_seq_from_cds__NO_35796;71;10;11;18;20;31;
>random_seq_from_cds__NO_34460;87;40;42;38;42;48;
>random_seq_from_cds__NO_1196;94;49;51;51;53;57;
>hsa-mir-3194 MI0014239 Homo sapiens miR-3194 stem-loop;73;30;30;34;34;36;
>hsa-mir-4529 MI0016896 Homo sapiens miR-4529 stem-loop;78;5;6;5;5;6;
>random_seq_from_cds__NO_34468;99;36;39;46;71;68;
>hsa-mir-1469 MI0007074 Homo sapiens miR-1469 stem-loop;47;19;23;26;33;38;
>hsa-mir-185 MI0000482 Homo sapiens miR-185 stem-loop;82;8;8;8;9;13;
>random_seq_from_cds__NO_38824;65;29;29;29;34;39;
>random_seq_from_cds__NO_70548;86;54;54;52;60;66;
>hsa-mir-4460 MI0016806 Homo sapiens miR-4460 stem-loop;86;3;3;3;5;4;
>random_seq_from_cds__NO_14400;81;39;44;47;53;59;
>random_seq_from_cds__NO_35322;75;36;41;44;49;46;
>random_seq_from_cds__NO_45125;109;62;64;67;68;69;
>hsa-mir-4314 MI0015846 Homo sapiens miR-4314 stem-loop;92;46;46;43;48;51;
>hsa-mir-3622b MI0016014 Homo sapiens miR-3622b stem-loop;95;6;8;8;8;9;
>random_seq_from_cds__NO_4233;89;14;17;19;29;38;
>random_seq_from_cds__NO_6410;110;66;76;80;78;75;
>hsa-mir-1276 MI0006416 Homo sapiens miR-1276 stem-loop;83;28;28;31;38;47;
>random_seq_from_cds__NO_38834;73;25;28;28;28;32;
>random_seq_from_cds__NO_44273;84;17;21;25;43;52;
>hsa-mir-4330 MI0015902 Homo sapiens miR-4330 stem-loop;105;15;18;19;24;39;
>hsa-mir-604 MI0003617 Homo sapiens miR-604 stem-loop;94;35;41;47;63;70;
>random_seq_from_cds__NO_35371;84;28;29;32;36;39;
>hsa-mir-921 MI0005713 Homo sapiens miR-921 stem-loop;56;20;22;20;27;26;
>random_seq_from_cds__NO_40720;90;21;24;30;43;54;
>random_seq_from_cds__NO_38884;78;37;38;38;39;39;
>random_seq_from_cds__NO_48206;86;53;53;60;61;64;
>random_seq_from_cds__NO_62513;84;41;45;41;48;46;
>random_seq_from_cds__NO_40724;101;66;65;68;75;71;
>hsa-mir-4471 MI0016822 Homo sapiens miR-4471 stem-loop;83;1;1;1;4;5;
>hsa-mir-504 MI0003189 Homo sapiens miR-504 stem-loop;83;2;4;5;8;13;
>hsa-mir-4748 MI0017387 Homo sapiens miR-4748 stem-loop;82;14;16;24;29;30;
>random_seq_from_cds__NO_1181;92;57;60;60;64;62;
>random_seq_from_cds__NO_38889;86;36;46;51;51;49;
>random_seq_from_cds__NO_16617;73;41;41;44;45;46;
>random_seq_from_cds__NO_48686;86;60;57;61;61;61;
>hsa-mir-9-3 MI0000468 Homo sapiens miR-9-3 stem-loop;90;9;10;11;13;16;
>random_seq_from_cds__NO_4209;84;46;49;51;48;52;
>hsa-mir-548s MI0014141 Homo sapiens miR-548s stem-loop;82;5;5;5;6;6;
>random_seq_from_cds__NO_46021;95;31;34;36;43;59;
>hsa-mir-5094 MI0017983 Homo sapiens miR-5094 stem-loop;85;15;14;15;29;34;
>hsa-mir-4526 MI0016893 Homo sapiens miR-4526 stem-loop;87;2;2;3;15;23;
>random_seq_from_cds__NO_46038;74;14;17;19;24;32;
>random_seq_from_cds__NO_11396;80;38;37;37;42;46;
>hsa-mir-647 MI0003662 Homo sapiens miR-647 stem-loop;96;36;40;44;48;51;
>random_seq_from_cds__NO_58485;98;50;53;68;77;75;
>hsa-mir-892b MI0005538 Homo sapiens miR-892b stem-loop;77;7;7;9;13;14;
>hsa-mir-3921 MI0016428 Homo sapiens miR-3921 stem-loop;85;1;1;1;1;1;
>hsa-mir-5689 MI0019294 Homo sapiens miR-5689 stem-loop;78;1;1;1;1;1;
>random_seq_from_cds__NO_4694;75;43;46;48;50;48;
>hsa-mir-548ab MI0016752 Homo sapiens miR-548ab stem-loop;84;3;4;5;7;9;
>random_seq_from_cds__NO_9903;84;41;43;48;53;55;
>random_seq_from_cds__NO_26886;110;53;59;65;75;74;
>random_seq_from_cds__NO_46036;110;33;34;35;35;39;
>random_seq_from_cds__NO_5549;87;45;48;46;56;61;
>hsa-mir-378i MI0016902 Homo sapiens miR-378i stem-loop;76;30;30;34;38;39;
>random_seq_from_cds__NO_69132;73;23;25;27;33;39;
>random_seq_from_cds__NO_17935;66;30;33;34;34;35;
>hsa-mir-651 MI0003666 Homo sapiens miR-651 stem-loop;97;13;13;14;15;13;
>hsa-mir-4790 MI0017437 Homo sapiens miR-4790 stem-loop;79;5;3;3;5;7;
>random_seq_from_cds__NO_26439;89;52;53;55;59;58;
>random_seq_from_cds__NO_72774;86;34;37;43;44;44;
>random_seq_from_cds__NO_71441;71;27;28;30;38;40;
>random_seq_from_cds__NO_72772;90;46;51;55;62;64;
>hsa-mir-758 MI0003757 Homo sapiens miR-758 stem-loop;88;11;14;17;36;45;
>random_seq_from_cds__NO_46480;110;64;66;69;74;74;
>random_seq_from_cds__NO_59327;77;47;46;46;55;56;
>random_seq_from_cds__NO_34026;72;23;24;21;28;33;
>random_seq_from_cds__NO_66096;72;27;28;28;35;37;
>hsa-mir-628 MI0003642 Homo sapiens miR-628 stem-loop;95;19;17;21;23;30;
>random_seq_from_cds__NO_5518;69;26;29;32;36;40;
>random_seq_from_cds__NO_39719;83;34;39;42;46;52;
>random_seq_from_cds__NO_18813;75;31;33;37;37;38;
>random_seq_from_cds__NO_16636;85;33;36;39;51;57;
>random_seq_from_cds__NO_46484;71;26;30;33;39;36;
>hsa-mir-4721 MI0017356 Homo sapiens miR-4721 stem-loop;89;45;49;50;60;67;
>random_seq_from_cds__NO_62961;89;53;51;51;60;70;
>hsa-mir-5690 MI0019295 Homo sapiens miR-5690 stem-loop;73;4;4;4;7;8;
>hsa-mir-3929 MI0016439 Homo sapiens miR-3929 stem-loop;55;5;5;5;7;12;
>random_seq_from_cds__NO_70104;97;49;57;60;65;69;
>random_seq_from_cds__NO_38875;110;74;72;74;67;71;
>hsa-mir-5586 MI0019143 Homo sapiens miR-5586 stem-loop;59;5;5;5;5;6;
>hsa-mir-5047 MI0017932 Homo sapiens miR-5047 stem-loop;100;31;36;40;51;65;
>random_seq_from_cds__NO_40708;85;50;54;54;59;60;
>random_seq_from_cds__NO_68264;78;37;40;49;51;46;
>random_seq_from_cds__NO_66085;110;60;64;67;70;76;
>hsa-mir-1468 MI0003782 Homo sapiens miR-1468 stem-loop;86;12;13;13;14;17;
>hsa-mir-1269b MI0016888 Homo sapiens miR-1269b stem-loop;75;37;38;39;38;46;
>hsa-mir-4474 MI0016826 Homo sapiens miR-4474 stem-loop;78;4;5;5;5;5;
>random_seq_from_cds__NO_25929;106;72;75;79;78;79;
>hsa-mir-4764 MI0017405 Homo sapiens miR-4764 stem-loop;88;7;9;9;14;16;
>random_seq_from_cds__NO_65149;109;35;38;41;50;64;
>hsa-mir-1270-1 MI0006407 Homo sapiens miR-1270-1 stem-loop;83;10;10;10;16;22;
>random_seq_from_cds__NO_17061;73;20;22;27;40;39;
>random_seq_from_cds__NO_18392;85;51;52;55;57;58;
>hsa-mir-643 MI0003658 Homo sapiens miR-643 stem-loop;97;12;11;14;18;18;
>random_seq_from_cds__NO_59704;72;18;21;23;32;43;
>random_seq_from_cds__NO_33557;77;12;16;27;45;47;
>hsa-mir-155 MI0000681 Homo sapiens miR-155 stem-loop;65;5;5;6;8;12;
>hsa-mir-4285 MI0015891 Homo sapiens miR-4285 stem-loop;85;55;60;62;69;66;
>random_seq_from_cds__NO_31378;86;38;44;48;53;54;
>hsa-mir-3191 MI0014236 Homo sapiens miR-3191 stem-loop;76;5;7;7;9;9;
>hsa-mir-147b MI0005544 Homo sapiens miR-147b stem-loop;80;11;11;11;15;25;
>hsa-mir-548as MI0019132 Homo sapiens miR-548as stem-loop;58;5;8;9;9;12;
>random_seq_from_cds__NO_53159;89;46;43;44;57;64;
>random_seq_from_cds__NO_35742;77;35;43;43;48;55;
>hsa-mir-5089 MI0017978 Homo sapiens miR-5089 stem-loop;84;4;4;4;4;4;
>random_seq_from_cds__NO_41180;81;22;22;24;34;44;
>hsa-mir-2392 MI0016870 Homo sapiens miR-2392 stem-loop;84;14;15;14;26;35;
>random_seq_from_cds__NO_70956;84;43;49;53;53;52;
>random_seq_from_cds__NO_71800;85;24;32;44;57;57;
>random_seq_from_cds__NO_58830;87;48;51;48;52;58;
>random_seq_from_cds__NO_17082;74;33;32;31;40;40;
>random_seq_from_cds__NO_22438;84;38;41;44;53;56;
>hsa-mir-371a MI0000779 Homo sapiens miR-371a stem-loop;67;7;7;9;13;15;
>hsa-mir-2277 MI0011284 Homo sapiens miR-2277 stem-loop;93;21;22;26;31;36;
>random_seq_from_cds__NO_29060;95;56;59;60;70;71;
>hsa-mir-4704 MI0017337 Homo sapiens miR-4704 stem-loop;75;10;10;11;9;9;
>hsa-mir-3659 MI0016060 Homo sapiens miR-3659 stem-loop;99;6;6;8;10;10;
>random_seq_from_cds__NO_13967;86;48;48;53;56;58;
>hsa-mir-4432 MI0016772 Homo sapiens miR-4432 stem-loop;84;9;13;15;19;24;
>random_seq_from_cds__NO_49;110;77;76;76;76;74;
>hsa-mir-568 MI0003574 Homo sapiens miR-568 stem-loop;95;27;32;38;52;52;
>hsa-mir-1244-1 MI0006379 Homo sapiens miR-1244-1 stem-loop;85;39;45;52;59;48;
>hsa-mir-3621 MI0016012 Homo sapiens miR-3621 stem-loop;85;19;23;24;37;42;
>random_seq_from_cds__NO_20245;110;66;68;65;72;73;
>random_seq_from_cds__NO_47701;81;29;29;31;36;42;
>random_seq_from_cds__NO_21574;81;39;39;45;53;49;
>hsa-mir-875 MI0005541 Homo sapiens miR-875 stem-loop;76;5;5;5;8;12;
>hsa-mir-4492 MI0016854 Homo sapiens miR-4492 stem-loop;80;16;17;20;31;33;
>hsa-mir-5000 MI0017866 Homo sapiens miR-5000 stem-loop;103;9;9;9;12;14;
>hsa-mir-609 MI0003622 Homo sapiens miR-609 stem-loop;95;7;7;7;8;9;
>random_seq_from_cds__NO_53137;75;37;34;32;35;35;
>hsa-mir-6132 MI0021277 Homo sapiens miR-6132 stem-loop;109;55;61;66;75;73;
>random_seq_from_cds__NO_46429;85;26;31;37;55;51;
>random_seq_from_cds__NO_35771;64;21;24;24;28;31;
>hsa-mir-4305 MI0015835 Homo sapiens miR-4305 stem-loop;102;56;63;66;76;75;
>random_seq_from_cds__NO_20277;85;37;39;47;67;54;
>random_seq_from_cds__NO_70532;80;45;44;43;45;50;
>random_seq_from_cds__NO_9980;110;66;68;71;74;75;
>hsa-mir-374a MI0000782 Homo sapiens miR-374a stem-loop;72;3;3;3;4;7;
>hsa-mir-4771-1 MI0017412 Homo sapiens miR-4771-1 stem-loop;74;3;3;3;5;9;
>random_seq_from_cds__NO_23303;64;19;20;19;27;29;
>hsa-mir-4448 MI0016791 Homo sapiens miR-4448 stem-loop;86;20;23;27;27;35;
>random_seq_from_cds__NO_8651;72;31;34;36;40;42;
>random_seq_from_cds__NO_6468;85;40;49;47;49;57;
>random_seq_from_cds__NO_5137;75;23;27;32;43;53;
>hsa-mir-4499 MI0016862 Homo sapiens miR-4499 stem-loop;69;11;12;16;18;18;
>hsa-mir-639 MI0003654 Homo sapiens miR-639 stem-loop;98;64;69;70;68;73;
>hsa-mir-5007 MI0017874 Homo sapiens miR-5007 stem-loop;95;20;22;22;27;31;
>random_seq_from_cds__NO_20274;81;34;41;41;50;55;
>hsa-mir-4289 MI0015898 Homo sapiens miR-4289 stem-loop;70;22;18;21;30;33;
>hsa-mir-1224 MI0003764 Homo sapiens miR-1224 stem-loop;85;15;17;20;22;23;
>hsa-mir-4741 MI0017379 Homo sapiens miR-4741 stem-loop;90;29;31;38;48;55;
>hsa-mir-3944 MI0016601 Homo sapiens miR-3944 stem-loop;108;9;11;13;14;14;
>random_seq_from_cds__NO_70521;86;39;40;48;55;65;
>random_seq_from_cds__NO_21597;95;54;59;60;72;70;
>random_seq_from_cds__NO_58882;88;43;47;49;60;67;
>hsa-mir-658 MI0003682 Homo sapiens miR-658 stem-loop;100;54;53;61;80;84;
>random_seq_from_cds__NO_54049;80;34;39;42;51;52;
>random_seq_from_cds__NO_7326;74;34;39;41;48;47;
>random_seq_from_cds__NO_6477;77;38;42;43;49;52;
>hsa-mir-190b MI0005545 Homo sapiens miR-190b stem-loop;79;5;5;6;9;11;
>hsa-mir-4459 MI0016805 Homo sapiens miR-4459 stem-loop;66;19;22;23;26;30;
>random_seq_from_cds__NO_56224;82;30;32;36;40;44;
>hsa-mir-27a MI0000085 Homo sapiens miR-27a stem-loop;78;9;9;12;19;26;
>random_seq_from_cds__NO_11314;68;18;19;23;25;30;
>random_seq_from_cds__NO_13975;89;39;43;45;55;59;
>hsa-mir-5697 MI0019304 Homo sapiens miR-5697 stem-loop;78;1;2;2;2;2;
>hsa-mir-451a MI0001729 Homo sapiens miR-451a stem-loop;72;2;2;2;2;2;
>hsa-mir-579 MI0003586 Homo sapiens miR-579 stem-loop;98;7;7;6;9;7;
>hsa-mir-5011 MI0017879 Homo sapiens miR-5011 stem-loop;103;8;8;10;11;13;
>random_seq_from_cds__NO_11318;87;28;31;35;45;48;
>hsa-mir-206 MI0000490 Homo sapiens miR-206 stem-loop;86;10;11;11;13;14;
>random_seq_from_cds__NO_47737;110;46;49;61;63;68;
>random_seq_from_cds__NO_43377;70;33;34;36;38;37;
>random_seq_from_cds__NO_716;85;34;36;37;53;63;
>hsa-mir-4742 MI0017380 Homo sapiens miR-4742 stem-loop;85;14;15;18;23;29;
>random_seq_from_cds__NO_4275;73;36;37;41;39;40;
>random_seq_from_cds__NO_33575;88;34;36;40;59;64;
>hsa-mir-379 MI0000787 Homo sapiens miR-379 stem-loop;67;9;11;8;11;14;
>hsa-mir-515-1 MI0003144 Homo sapiens miR-515-1 stem-loop;83;5;4;4;5;6;
>random_seq_from_cds__NO_65158;70;36;36;40;46;47;
>hsa-mir-3976 MI0016994 Homo sapiens miR-3976 stem-loop;139;19;20;24;40;45;
>hsa-mir-205 MI0000285 Homo sapiens miR-205 stem-loop;110;23;24;24;27;31;
>random_seq_from_cds__NO_45568;86;40;38;43;55;50;
>hsa-mir-4686 MI0017318 Homo sapiens miR-4686 stem-loop;76;11;12;12;12;13;
>hsa-mir-4511 MI0016877 Homo sapiens miR-4511 stem-loop;87;3;3;4;7;7;
>random_seq_from_cds__NO_55354;81;41;42;41;47;45;
>random_seq_from_cds__NO_2098;88;58;59;62;59;64;
>random_seq_from_cds__NO_6457;81;30;30;32;41;49;
>random_seq_from_cds__NO_57534;94;43;50;54;67;74;
>random_seq_from_cds__NO_32257;88;35;47;52;62;66;
